filename,classe,pixel_mean,pixel_std,pixel_median,lum_interieur_masque,lum_exterieur_masque,surface_masque,variance_laplacien,is_black
COVID-1.png,COVID,24.1884,48.6138,0.0,102.3016,0.2693,0.234427,640.4867,False
COVID-2.png,COVID,23.5659,47.1873,0.0,94.1861,0.4038,0.246977,733.1919,False
COVID-3.png,COVID,23.8735,44.4828,0.0,89.2368,0.3305,0.264807,652.135,False
COVID-4.png,COVID,31.3344,57.6973,0.0,102.5699,0.6327,0.301182,736.5547,False
COVID-5.png,COVID,24.469,49.7481,0.0,97.7249,0.3962,0.247335,698.0943,False
COVID-6.png,COVID,19.1746,44.5941,0.0,101.673,0.2631,0.186486,739.5992,False
COVID-7.png,COVID,22.2884,45.0354,0.0,94.0175,0.4185,0.233655,772.3345,False
COVID-8.png,COVID,29.7453,54.7848,0.0,97.7274,0.4941,0.300836,783.209,False
COVID-9.png,COVID,22.2746,43.8833,0.0,92.6256,0.3075,0.23795,624.6676,False
COVID-10.png,COVID,26.4962,51.1176,0.0,99.8202,0.4321,0.262245,888.4287,False
COVID-11.png,COVID,40.0427,62.1092,0.0,104.759,0.6883,0.37815,994.8477,False
COVID-12.png,COVID,20.3856,44.9547,0.0,93.3304,0.312,0.215803,729.9759,False
COVID-13.png,COVID,29.0823,57.4811,0.0,107.833,0.4788,0.26644,833.915,False
COVID-14.png,COVID,26.0759,48.4734,0.0,91.3366,0.4104,0.282268,888.7427,False
COVID-15.png,COVID,29.059,50.7225,0.0,94.6321,0.3996,0.304135,921.8212,False
COVID-16.png,COVID,16.9575,44.716,0.0,93.8637,0.3832,0.177302,658.0109,False
COVID-17.png,COVID,26.1423,50.9842,0.0,95.5502,0.4597,0.270086,944.7881,False
COVID-18.png,COVID,22.1982,45.8372,0.0,95.3116,0.3912,0.22974,582.8595,False
COVID-19.png,COVID,23.4065,50.1942,0.0,103.8909,0.3453,0.222716,736.7484,False
COVID-20.png,COVID,32.5237,59.8244,0.0,110.3454,0.3984,0.292189,1212.7845,False
COVID-21.png,COVID,22.1982,45.8372,0.0,95.3116,0.3912,0.22974,582.8595,False
COVID-22.png,COVID,21.9615,48.4996,0.0,103.8205,0.3469,0.20889,714.3578,False
COVID-23.png,COVID,35.2923,63.4752,0.0,118.6219,0.4113,0.295075,1595.2593,False
COVID-24.png,COVID,22.3399,46.0292,0.0,96.3415,0.4504,0.228275,582.5202,False
COVID-25.png,COVID,31.49,55.157,0.0,106.6702,0.4686,0.2921,836.1605,False
COVID-26.png,COVID,56.2392,66.7507,19.0,107.4334,0.8223,0.519804,2755.9494,False
COVID-27.png,COVID,26.9593,49.9587,0.0,97.3648,0.5142,0.273051,805.8965,False
COVID-28.png,COVID,21.565,44.785,0.0,95.3814,0.2885,0.223745,640.3535,False
COVID-29.png,COVID,30.5578,52.8939,0.0,98.5552,0.5599,0.306115,1057.9532,False
COVID-30.png,COVID,21.8073,46.7532,0.0,97.2203,0.3553,0.221463,561.5335,False
COVID-31.png,COVID,41.9452,59.5761,0.0,101.8568,0.6407,0.408083,1085.1611,False
COVID-32.png,COVID,36.8866,57.1612,0.0,100.5804,0.6,0.362938,1061.5071,False
COVID-33.png,COVID,30.4387,54.6924,0.0,102.4641,0.4773,0.293777,871.2372,False
COVID-34.png,COVID,35.9748,61.8439,0.0,108.8562,0.5001,0.32739,1160.9572,False
COVID-35.png,COVID,32.0742,54.0711,0.0,99.4844,0.572,0.318486,1054.7576,False
COVID-36.png,COVID,26.9208,51.5453,0.0,102.9054,0.3649,0.258979,675.6307,False
COVID-37.png,COVID,31.4353,57.3759,0.0,107.5486,0.4384,0.289393,867.8646,False
COVID-38.png,COVID,29.1342,51.6275,0.0,95.5867,0.5091,0.30107,947.7678,False
COVID-39.png,COVID,28.6062,50.7094,0.0,100.9489,0.3169,0.281115,640.3653,False
COVID-40.png,COVID,22.6704,51.991,0.0,108.2905,0.3055,0.207112,698.2973,False
COVID-41.png,COVID,30.8579,53.4871,0.0,98.3702,0.4935,0.310231,916.7366,False
COVID-42.png,COVID,26.7529,49.2047,0.0,100.642,0.38,0.26304,647.7169,False
COVID-43.png,COVID,42.8252,61.371,0.0,104.254,0.6352,0.407165,966.349,False
COVID-44.png,COVID,37.7618,57.7858,0.0,99.7196,0.6764,0.374437,1243.9604,False
COVID-45.png,COVID,30.1488,51.8886,0.0,102.5916,0.3925,0.29116,690.9935,False
COVID-46.png,COVID,25.7042,47.9838,0.0,94.2443,0.3555,0.269986,599.2326,False
COVID-47.png,COVID,25.1386,46.3723,0.0,95.3765,0.3343,0.260981,664.9041,False
COVID-48.png,COVID,25.2128,47.7511,0.0,96.3036,0.4339,0.258465,621.4039,False
COVID-49.png,COVID,17.1945,43.4232,0.0,98.1316,0.3273,0.172459,598.9349,False
COVID-50.png,COVID,37.8778,59.348,0.0,106.8523,0.5334,0.351249,803.2952,False
COVID-51.png,COVID,36.2767,57.756,0.0,101.7452,0.5286,0.353184,837.2486,False
COVID-52.png,COVID,17.1945,43.4232,0.0,98.1316,0.3273,0.172459,598.9349,False
COVID-53.png,COVID,23.2577,48.6799,0.0,97.783,0.4016,0.234707,645.0962,False
COVID-54.png,COVID,45.8485,61.493,0.0,102.2886,0.7348,0.444234,1287.5639,False
COVID-55.png,COVID,16.571,39.8457,0.0,92.1186,0.3057,0.177157,624.5868,False
COVID-56.png,COVID,23.4039,47.7778,0.0,96.4838,0.3632,0.239706,687.3147,False
COVID-57.png,COVID,37.6611,59.4347,0.0,105.6249,0.4997,0.353497,1157.2113,False
COVID-58.png,COVID,12.6371,37.4177,0.0,94.8379,0.2351,0.131095,477.7438,False
COVID-59.png,COVID,25.1898,51.1399,0.0,101.4576,0.3975,0.245322,712.5263,False
COVID-60.png,COVID,41.7377,61.3052,0.0,104.1799,0.6603,0.396808,1137.2211,False
COVID-61.png,COVID,18.4884,43.8321,0.0,97.0326,0.3464,0.187638,599.5981,False
COVID-62.png,COVID,23.7324,48.4145,0.0,96.5478,0.4072,0.242615,710.1632,False
COVID-63.png,COVID,28.6643,52.6118,0.0,99.9076,0.4304,0.283822,860.2741,False
COVID-64.png,COVID,26.5238,50.2459,0.0,97.6829,0.4925,0.267838,895.4053,False
COVID-65.png,COVID,31.9811,55.0395,0.0,102.1258,0.5283,0.309583,787.6009,False
COVID-66.png,COVID,28.6031,56.6629,0.0,110.5013,0.3961,0.256183,949.9033,False
COVID-67.png,COVID,21.4743,47.2596,0.0,98.6166,0.3367,0.215076,585.45,False
COVID-68.png,COVID,21.1702,45.5593,0.0,96.4437,0.2692,0.217324,618.7438,False
COVID-69.png,COVID,35.9362,60.646,0.0,108.7175,0.4597,0.327703,858.8975,False
COVID-70.png,COVID,24.1063,49.8336,0.0,100.6737,0.3806,0.236563,836.9929,False
COVID-71.png,COVID,16.3752,40.7328,0.0,95.0695,0.2931,0.169685,526.7923,False
COVID-72.png,COVID,41.2057,64.6055,0.0,112.4792,0.5909,0.362994,1090.1202,False
COVID-73.png,COVID,21.1008,45.6676,0.0,98.0047,0.3943,0.212134,690.4513,False
COVID-74.png,COVID,29.8548,54.4858,0.0,104.9797,0.4208,0.281507,727.0786,False
COVID-75.png,COVID,38.7284,63.7199,0.0,115.259,0.4657,0.333318,1063.8924,False
